_type,director,name,rating,star,year
ImdbItem,"John Frankenheimer,Richard Stanley",The Island of Dr. Moreau,4.5,"David Thewlis,Marlon Brando,Val Kilmer,Fairuza Balk",1996
ImdbItem,Arthur Hiller,Carpool,4.9,"Tom Arnold,David Paymer,Rhea Perlman,Rod Steiger",1996
ImdbItem,Annette Haywood-Carter,Foxfire,6.2,"Hedy Burress,Angelina Jolie,Jenny Lewis,Jenny Shimizu",1996
ImdbItem,Norberto Barba,Solo,3.9,"Mario Van Peebles,William Sadler,Barry Corbin,Jaime Gomez",1996
ImdbItem,Simon Cellan Jones,In Your Dreams,8,"Thandie Newton,Oliver Milburn,Miles Anderson,Sam Barriscale",1996
ImdbItem,Anjelica Huston,Bastard Out of Carolina,7.4,"Jennifer Jason Leigh,Ron Eldard,Glenne Headly,Lyle Lovett",1996
ImdbItem,Barry Levinson,Sleepers,7.6,"Robert De Niro,Kevin Bacon,Brad Pitt,Jason Patric",1996
ImdbItem,Neil Jordan,Michael Collins,7.2,"Liam Neeson,Aidan Quinn,Julia Roberts,Ian Hart",1996
ImdbItem,Jane Campion,The Portrait of a Lady,6.3,"Nicole Kidman,John Malkovich,Barbara Hershey,Martin Donovan",1996
ImdbItem,Billy Bob Thornton,Sling Blade,8,"Billy Bob Thornton,Dwight Yoakam,J.T. Walsh,John Ritter",1996
ImdbItem,Nicolas Winding Refn,Pusher,7.4,"Kim Bodnia,Zlatko Buric,Laura DrasbÃ_k,Slavko Labovic",1996
ImdbItem,Tim Pope,The Crow: City of Angels,4.6,"Vincent Perez,Mia Kirshner,Richard Brooks,Iggy Pop",1996
ImdbItem,David Mickey Evans,First Kid,5.2,"Sinbad,Brock Pierce,Blake Boyd,Timothy Busfield",1996
ImdbItem,Doug Liman,Swingers,7.3,"Vince Vaughn,Heather Graham,Jon Favreau,Ron Livingston",1996
ImdbItem,"Lana Wachowski,Lilly Wachowski",Bound,7.4,"Jennifer Tilly,Gina Gershon,Joe Pantoliano,John P. Ryan",1996
ImdbItem,Abel Ferrara,The Funeral,6.6,"Christopher Walken,Chris Penn,Annabella Sciorra,Isabella Rossellini",1996
ImdbItem,James Ivory,Surviving Picasso,6.4,"Anthony Hopkins,Natascha McElhone,Julianne Moore,Joss Ackland",1996
ImdbItem,Carroll Ballard,Fly Away Home,6.8,"Jeff Daniels,Anna Paquin,Dana Delany,Terry Kinney",1996
ImdbItem,Trevor Nunn,Was ihr wollt,7.3,"Helena Bonham Carter,Richard E. Grant,Imogen Stubbs,Steven Mackintosh",1996
ImdbItem,Ernest R. Dickerson,Bulletproof,5.8,"Damon Wayans,Adam Sandler,James Caan,Jeep Swenson",1996
ImdbItem,Norman Jewison,Bogus,5.3,"Whoopi Goldberg,GÃ©rard Depardieu,Haley Joel Osment,Andrea Martin",1996
ImdbItem,Reb Braddock,Curdled,5.9,"William Baldwin,Angela Jones,Bruce Ramsay,Lois Chiles",1996
ImdbItem,"Curt Geda,Scott Jeralds,Dan Riba",Superman: The Last Son of Krypton,7.8,"Tim Daly,Dana Delany,Clancy Brown,Malcolm McDowell",1996
ImdbItem,Lynne Stopkewich,Kissed,6.5,"Molly Parker,Peter Outerbridge,Jay Brazeau,Natasha Morley",1996
ImdbItem,Christopher Hampton,The Secret Agent,5.8,"Bob Hoskins,Patricia Arquette,GÃ©rard Depardieu,Jim Broadbent",1996
ImdbItem,Albert Brooks,Mother,6.9,"Albert Brooks,Debbie Reynolds,Paul Collins,Laura Weekes",II 1996
ImdbItem,Kevin Spacey,Albino Alligator,6.1,"Matt Dillon,Faye Dunaway,Gary Sinise,William Fichtner",1996
ImdbItem,Michael Winterbottom,Jude,7,"Christopher Eccleston,Kate Winslet,Liam Cunningham,Rachel Griffiths",1996
ImdbItem,Mira Nair,Kama Sutra: A Tale of Love,6,"Naveen Andrews,Sarita Choudhury,Indira Varma,Ramon Tikaram",1996
ImdbItem,Steven Soderbergh,Gray's Anatomy,6.9,"Spalding Gray,Mike McLaughlin,Melissa Robertson,Alvin Henry",1996
ImdbItem,"Cher,Nancy Savoca",If These Walls Could Talk,7.1,"Demi Moore,Shirley Knight,Catherine Keener,Jason London",1996
ImdbItem,John Herzfeld,2 Days in the Valley,6.5,"Teri Hatcher,Jeff Daniels,Danny Aiello,Charlize Theron",1996
ImdbItem,Michael Corrente,American Buffalo,5.7,"Dustin Hoffman,Dennis Franz,Sean Nelson",1996
ImdbItem,Ringo Lam,Maximum Risk,5.5,"Jean-Claude Van Damme,Natasha Henstridge,Jean-Hugues Anglade,Zach Grenier",1996
ImdbItem,Steven Baigelman,Feeling Minnesota,5.4,"Keanu Reeves,Vincent D'Onofrio,Cameron Diaz,Delroy Lindo",1996
ImdbItem,Amy Holden Jones,The Rich Man's Wife,5.2,"Halle Berry,Christopher McDonald,Peter Greene,Clive Owen",1996
ImdbItem,Tom Hanks,That Thing You Do!,6.9,"Tom Hanks,Liv Tyler,Charlize Theron,Tom Everett Scott",1996
ImdbItem,Walter Hill,Last Man Standing,6.4,"Bruce Willis,Bruce Dern,William Sanderson,Christopher Walken",1996
ImdbItem,Herbert Wise,Breaking the Code,7.3,"Derek Jacobi,Alun Armstrong,Blake Ritson,William Mannering",1996
ImdbItem,Bob Rafelson,Blood and Wine,6,"Jack Nicholson,Michael Caine,Stephen Dorff,Jennifer Lopez",1996
ImdbItem,Hugh Wilson,The First Wives Club,6.3,"Goldie Hawn,Bette Midler,Diane Keaton,Maggie Smith",1996
ImdbItem,Woody Allen,Everyone Says I Love You,6.8,"Woody Allen,Goldie Hawn,Julia Roberts,Edward Norton",1996
ImdbItem,Michael Apted,Extreme Measures,6.1,"Hugh Grant,Gene Hackman,Sarah Jessica Parker,David Morse",1996
ImdbItem,Susan Warms Dryfoos,The Line King: The Al Hirschfeld Story,7.2,"Julie Andrews,Lauren Bacall,Carol Channing,Cy Coleman",1996
ImdbItem,James Lapine,Passion,8.1,"Donna Murphy,Jere Shea,Marin Mazzie,Gregg Edelman",1996
ImdbItem,James Foley,The Chamber,6,"Chris O'Donnell,Gene Hackman,Faye Dunaway,Robert Prosky",1996
ImdbItem,Robert Lieberman,D3: The Mighty Ducks,5.4,"Emilio Estevez,Jeffrey Nordling,David Selby,Heidi Kling",1996
ImdbItem,John Gray,The Glimmer Man,5.4,"Steven Seagal,Keenen Ivory Wayans,Bob Gunton,Brian Cox",1996
ImdbItem,Michael Pressman,To Gillian on Her 37th Birthday,5.8,"Peter Gallagher,Michelle Pfeiffer,Claire Danes,Laurie Fortier",1996
ImdbItem,Spike Lee,Get on the Bus,6.8,"Ossie Davis,Charles S. Dutton,Andre Braugher,Richard Belzer",1996
ImdbItem,Renny Harlin,The Long Kiss Goodnight,6.8,"Geena Davis,Samuel L. Jackson,Yvonne Zima,Craig Bierko",1996
ImdbItem,Stephen Hopkins,Der Geist und die Dunkelheit,6.8,"Michael Douglas,Val Kilmer,Tom Wilkinson,John Kani",1996
ImdbItem,Richard Linklater,SubUrbia,6.8,"Giovanni Ribisi,Steve Zahn,Jayce Bartok,Amie Carey",1996
ImdbItem,"Angus Gibson,Jo Menell",Mandela,6.8,"Winnie Mandela,Nelson Mandela,Patrick Shai,George Bizos",1996
ImdbItem,Milos Forman,The People vs. Larry Flynt,7.3,"Woody Harrelson,Courtney Love,Edward Norton,Brett Harrelson",1996
ImdbItem,David Attwood,The Fortunes and Misfortunes of Moll Flanders,7.9,"James Bowers,Alex Kingston,Nicola Kingston,Geoffrey Beevers",1996
ImdbItem,,Prime Suspect 5: Errors of Judgement,8,"Helen Mirren,Ray Emmet Brown,John Brobbey,Julia Lane",1996
ImdbItem,Sidney Lumet,Night Falls on Manhattan,6.6,"Andy Garcia,Richard Dreyfuss,Lena Olin,Ian Holm",1996
ImdbItem,Tom Holland,Thinner,5.7,"Robert John Burke,Joe Mantegna,Lucinda Jenney,Bethany Joy Lenz",1996
ImdbItem,Donald Petrie,The Associate,6.1,"Whoopi Goldberg,Dianne Wiest,Eli Wallach,Tim Daly",1996
ImdbItem,Hart Bochner,High School High,5.5,"Jon Lovitz,Tia Carrere,Louise Fletcher,Mekhi Phifer",1996
ImdbItem,Baz Luhrmann,Romeo + Juliet,6.8,"Leonardo DiCaprio,Claire Danes,John Leguizamo,Harold Perrineau",1996
ImdbItem,Anthony Minghella,The English Patient,7.4,"Ralph Fiennes,Juliette Binoche,Willem Dafoe,Kristin Scott Thomas",1996
ImdbItem,Stuart Gordon,Space Truckers,5.2,"Tim Loane,Ian Beattie,Olwen FouÃ©rÃ©,Shane Rimmer",1996
ImdbItem,Kevin Dowling,Mojave Moon,5.2,"Danny Aiello,Anne Archer,Michael Biehn,Angelina Jolie",1996
